groups,value
10-AbS-0,14.62930271
10-AbS-0,13.02922273
10-AbS-0,13.02922273
10-AbS-20,12.80063987
10-AbS-20,11.88630845
10-AbS-20,11.20055989
10-AbS-50,12.80063987
10-AbS-50,12.11489131
10-AbS-50,11.6577256
10-AbS-200,13.25780558
10-AbS-200,14.172137
10-AbS-200,13.94355414
10-AbS-500,17.82946268
10-AbS-500,20.34387408
10-AbS-500,16.00079984
10-AbS-1000,19.88670837
10-AbS-1000,22.17253692
10-AbS-1000,19.42954266
10-AbS-5000,33.3730968
10-AbS-5000,37.9447539
10-AbS-5000,37.9447539
